STATE/UT,CONSTITUENCY,WINNER,SEX,PARTY,SYMBOL
West Bengal,Hemtabad,SATYAJIT BARMAN,M,AITC,Flowers and Grass
West Bengal,Kaliaganj,SOUMEN ROY,M,BJP,Lotus
West Bengal,Raiganj,KRISHNA KALYANI,M,BJP,Lotus
West Bengal,Itahar,MOSARAF HUSSEN,M,AITC,Flowers and Grass
West Bengal,Kushmandi,REKHA ROY,F,AITC,Flowers and Grass
West Bengal,Kumarganj,TORAF HOSSAIN MANDAL,M,AITC,Flowers and Grass
West Bengal,Balurghat,Ashok Kumar Lahiri,M,BJP,Lotus
West Bengal,Tapan,BUDHRAI TUDU,M,BJP,Lotus
West Bengal,Gangarampur,SATYENDRA NATH RAY,M,BJP,Lotus
West Bengal,Harirampur,BIPLAB MITRA,M,AITC,Flowers and Grass
West Bengal,Habibpur,JOYEL MURMU,M,BJP,Lotus
West Bengal,Gazole,CHINMOY DEB BARMAN,M,BJP,Lotus
West Bengal,Chanchal,Nihar Ranjan Ghosh,M,AITC,Flowers and Grass
West Bengal,Harischandrapur,TAJMUL HOSSAIN,M,AITC,Flowers and Grass
West Bengal,Malatipur,ABDUR RAHIM BOXI,M,AITC,Flowers and Grass
West Bengal,Ratua,Samar Mukherjee,M,AITC,Flowers and Grass
West Bengal,Manikchak,SABITRI MITRA,F,AITC,Flowers and Grass
West Bengal,Maldaha,Gopal Chandra Saha,M,BJP,Lotus
West Bengal,English Bazar,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),F,BJP,Lotus
West Bengal,Mothabari,YEASMIN SABINA,F,AITC,Flowers and Grass
West Bengal,Sujapur,Md Abdul Ghani,M,AITC,Flowers and Grass
West Bengal,Baisnabnagar,CHANDANA SARKAR,F,AITC,Flowers and Grass
West Bengal,Farakka,MANIRUL ISLAM,M,AITC,Flowers and Grass
West Bengal,Suti,EMANI BISWAS,M,AITC,Flowers and Grass
West Bengal,RaghunathGanj,Akhruzzaman,M,AITC,Flowers and Grass
West Bengal,Sagardighi,SUBRATA SAHA,M,AITC,Flowers and Grass
West Bengal,Lalgola,ALI MOHAMMAD,M,AITC,Flowers and Grass
West Bengal,Bhagabangola,IDRIS ALI,M,AITC,Flowers and Grass
West Bengal,Raninagar,ABDUL SOUMIK HOSSAIN,M,AITC,Flowers and Grass
